SP500,SF1,ZEP,Sector,DateInSP500,DateOutSP500
KMI,KMI,KMI,Energy,05/17/12,05/30/07
KMX,KMX,KMX,Consumer Discretionary,06/28/10,01/01/20
KO,KO,KO,Consumer Staples,01/01/99,01/01/20
EK,KODK,KODK,Information Technology,01/01/99,12/17/10
KORS,KORS,KORS,Consumer Discretionary,11/12/13,01/01/20
KR,KR,KR,Consumer Staples,01/01/99,01/01/20
KRB,KRB,KRB,Financials,01/01/99,12/30/05
KRI,KRI,KRI,Consumer Discretionary,01/01/99,06/27/06
KSS,KSS,KSS,Consumer Discretionary,01/01/99,01/01/20
KSU,KSU,KSU,Industrials,05/23/13,07/12/00
L,L,L,Financials,01/01/99,01/01/20
LB,LB,LB,Consumer Discretionary,01/01/99,01/01/20
U,LCC,LCC,Industrials,01/01/99,05/14/02
LDG,LDG,LDG,Consumer Staples,01/01/99,06/29/01
LDOS,LDOS,LDOS,Information Technology,12/18/09,09/20/13
LEG,LEG,LEG,Consumer Discretionary,01/01/99,01/01/20
LEH,LEH,LEHMQ,Financials,01/01/99,09/16/08
LEN,LEN,LEN,Consumer Discretionary,10/03/05,01/01/20
LH,LH,LH,Health Care,10/29/04,01/01/20
LIFE,LIFE2,LIFE2,Health Care,11/21/08,01/23/14
LKQ,LKQ,LKQ,Consumer Discretionary,05/20/16,01/01/20
LLL,LLL,LLL,Industrials,11/30/04,01/01/20
LLTC,LLTC,LLTC,Information Technology,03/31/00,01/01/20
LLY,LLY,LLY,Health Care,01/01/99,01/01/20
LM,LM,LM,Financials,04/21/06,01/01/20
LMT,LMT,LMT,Industrials,01/01/99,01/01/20
LNC,LNC,LNC,Financials,01/01/99,01/01/20
LO,LO,LO,Consumer Staples,06/10/08,06/11/15
LOW,LOW,LOW,Consumer Discretionary,01/01/99,01/01/20
LPX,LPX,LPX,Materials,01/01/99,11/09/06
LRCX,LRCX,LRCX,Information Technology,06/05/12,01/01/20
LSI,LSI1,LSI_,Information Technology,01/01/99,05/07/14
LU,LU,LU,Information Technology,01/01/99,11/30/06
LUK,LUK,LUK,Financials,08/24/07,01/01/20
LUV,LUV,LUV,Industrials,01/01/99,01/01/20
LVLT,LVLT,LVLT,Telecommunications,11/04/14,01/01/20
LXK,LXK,LXK,Information Technology,01/01/99,09/28/12
LYB,LYB,LYB,Materials,09/04/12,01/01/20
M,M,M,Consumer Discretionary,01/01/99,01/01/20
MA,MA,MA,Information Technology,07/17/08,01/01/20
MAC,MAC,MAC,Real Estate,05/08/13,01/01/20
MAR,MAR,MAR,Consumer Discretionary,01/01/99,01/01/20
MAS,MAS,MAS,Industrials,01/01/99,01/01/20
MAT,MAT,MAT,Consumer Discretionary,01/01/99,01/01/20
MBI,MBI,MBI,Financials,01/01/99,12/18/09
MCD,MCD,MCD,Consumer Discretionary,01/01/99,01/01/20
MCHP,MCHP,MCHP,Information Technology,09/07/07,01/01/20
MCK,MCK,MCK,Health Care,01/01/99,01/01/20
MCO,MCO,MCO,Financials,10/02/00,01/01/20
MZ,MCRN,MCRN,Industrials,01/01/99,06/28/00
MDLZ,MDLZ,MDLZ,Consumer Staples,03/30/07,01/01/20
MDP,MDP,MDP,Consumer Discretionary,01/01/99,01/03/11
MDR,MDR,MDR,Energy,01/01/99,08/19/03
MDT,MDT,MDT,Health Care,01/01/99,01/01/20
MEDI,MEDI,MEDI,Health Care,06/15/00,05/31/07
MEE,MEE,MEE,Energy,06/20/08,06/01/11
